technology_1,timestep_2,scenario,parameter,value
wind,h0001,base,avaConv,0.444037909
wind,h0002,base,avaConv,0.794090817
wind,h0003,base,avaConv,0.953740237
wind,h0004,base,avaConv,0.89829831
wind,h0005,base,avaConv,0.896574173
wind,h0006,base,avaConv,0.940565612
wind,h0007,base,avaConv,0.97862858
wind,h0008,base,avaConv,0.98202321
wind,h0009,base,avaConv,0.980854772
wind,h0010,base,avaConv,0.978536734
wind,h0011,base,avaConv,0.944876528
wind,h0012,base,avaConv,0.979158625
wind,h0013,base,avaConv,0.983077611
wind,h0014,base,avaConv,0.981239469
wind,h0015,base,avaConv,0.945366856
wind,h0016,base,avaConv,0.864941921
wind,h0017,base,avaConv,0.842769538
wind,h0018,base,avaConv,0.835173296
wind,h0019,base,avaConv,0.818274116
wind,h0020,base,avaConv,0.834235249
wind,h0021,base,avaConv,0.823775592
wind,h0022,base,avaConv,0.722470254
wind,h0023,base,avaConv,0.442171862
wind,h0024,base,avaConv,0.30458486
wind,h0025,base,avaConv,0.201013639
wind,h0026,base,avaConv,0.168103804
wind,h0027,base,avaConv,0.138751058
wind,h0028,base,avaConv,0.128809316
wind,h0029,base,avaConv,0.097285848
wind,h0030,base,avaConv,0.042267681
wind,h0031,base,avaConv,0.013528716
wind,h0032,base,avaConv,0.005087153
wind,h0033,base,avaConv,0.002646154
wind,h0034,base,avaConv,0.002885875
wind,h0035,base,avaConv,0.002753855
wind,h0036,base,avaConv,0.003720458
wind,h0037,base,avaConv,0.005214827
wind,h0038,base,avaConv,0.006942848
wind,h0039,base,avaConv,0.015300749
wind,h0040,base,avaConv,0.018308764
wind,h0041,base,avaConv,0.013813137
wind,h0042,base,avaConv,0.010340376
wind,h0043,base,avaConv,0.00591526
wind,h0044,base,avaConv,0.004462979
wind,h0045,base,avaConv,0.002252377
wind,h0046,base,avaConv,0.00991375
wind,h0047,base,avaConv,0.027752801
wind,h0048,base,avaConv,0.083187136
wind,h0049,base,avaConv,0.154918915
wind,h0050,base,avaConv,0.213745198
wind,h0051,base,avaConv,0.249371685
wind,h0052,base,avaConv,0.299453417
wind,h0053,base,avaConv,0.324676067
wind,h0054,base,avaConv,0.322932805
wind,h0055,base,avaConv,0.30960667
wind,h0056,base,avaConv,0.302730876
wind,h0057,base,avaConv,0.30500475
wind,h0058,base,avaConv,0.302281878
wind,h0059,base,avaConv,0.202019717
wind,h0060,base,avaConv,0.130922217
wind,h0061,base,avaConv,0.127890357
wind,h0062,base,avaConv,0.111439455
wind,h0063,base,avaConv,0.077635591
wind,h0064,base,avaConv,0.078168493
wind,h0065,base,avaConv,0.081291548
wind,h0066,base,avaConv,0.084878753
wind,h0067,base,avaConv,0.08550679
wind,h0068,base,avaConv,0.091417053
wind,h0069,base,avaConv,0.107459898
wind,h0070,base,avaConv,0.129899954
wind,h0071,base,avaConv,0.102790402
wind,h0072,base,avaConv,0.131293688
wind,h0073,base,avaConv,0.199729482
