carrier_1,timestep_2,scenario,parameter,value
electricity,h0001,base,dem,1.925435235
electricity,h0002,base,dem,1.895826979
electricity,h0003,base,dem,1.731514746
electricity,h0004,base,dem,1.615476334
electricity,h0005,base,dem,1.526126452
electricity,h0006,base,dem,1.484996994
electricity,h0007,base,dem,1.468502429
electricity,h0008,base,dem,1.483790895
electricity,h0009,base,dem,1.561158322
electricity,h0010,base,dem,1.612229221
electricity,h0011,base,dem,1.743953709
electricity,h0012,base,dem,1.858201797
electricity,h0013,base,dem,1.94015695
electricity,h0014,base,dem,1.939333468
electricity,h0015,base,dem,1.939333468
electricity,h0016,base,dem,1.94200628
electricity,h0017,base,dem,1.94200628
electricity,h0018,base,dem,1.941559481
electricity,h0019,base,dem,1.943821522
electricity,h0020,base,dem,1.938138912
electricity,h0021,base,dem,1.950908821
electricity,h0022,base,dem,1.950509916
electricity,h0023,base,dem,1.950765137
electricity,h0024,base,dem,1.936999801
electricity,h0025,base,dem,1.903291607
electricity,h0026,base,dem,1.817719561
electricity,h0027,base,dem,1.671345091
electricity,h0028,base,dem,1.547949597
electricity,h0029,base,dem,1.487986405
electricity,h0030,base,dem,1.468502429
electricity,h0031,base,dem,1.468502429
electricity,h0032,base,dem,1.483790895
electricity,h0033,base,dem,1.561158322
electricity,h0034,base,dem,1.612229221
electricity,h0035,base,dem,1.744386809
electricity,h0036,base,dem,1.865547337
electricity,h0037,base,dem,1.93972288
electricity,h0038,base,dem,1.939333468
electricity,h0039,base,dem,1.94100891
electricity,h0040,base,dem,1.943681722
electricity,h0041,base,dem,1.945544859
electricity,h0042,base,dem,1.945180905
electricity,h0043,base,dem,1.945180905
electricity,h0044,base,dem,1.941361431
electricity,h0045,base,dem,1.952771958
electricity,h0046,base,dem,1.950908821
electricity,h0047,base,dem,1.950765137
electricity,h0048,base,dem,1.938639214
electricity,h0049,base,dem,1.902773614
electricity,h0050,base,dem,1.817201567
electricity,h0051,base,dem,1.671345091
electricity,h0052,base,dem,1.547949597
electricity,h0053,base,dem,1.487986405
electricity,h0054,base,dem,1.468502429
electricity,h0055,base,dem,1.468502429
electricity,h0056,base,dem,1.483790895
electricity,h0057,base,dem,1.561158322
electricity,h0058,base,dem,1.612229221
electricity,h0059,base,dem,1.743953709
electricity,h0060,base,dem,1.861312994
electricity,h0061,base,dem,1.93972288
