technology_1,timestep_2,scenario,parameter,value
wind,h0001,highDemLowHydro,avaConv,0.444037909
wind,h0002,highDemLowHydro,avaConv,0.794090817
wind,h0003,highDemLowHydro,avaConv,0.953740237
wind,h0004,highDemLowHydro,avaConv,0.89829831
wind,h0005,highDemLowHydro,avaConv,0.896574173
wind,h0006,highDemLowHydro,avaConv,0.940565612
wind,h0007,highDemLowHydro,avaConv,0.97862858
wind,h0008,highDemLowHydro,avaConv,0.98202321
wind,h0009,highDemLowHydro,avaConv,0.980854772
wind,h0010,highDemLowHydro,avaConv,0.978536734
wind,h0011,highDemLowHydro,avaConv,0.944876528
wind,h0012,highDemLowHydro,avaConv,0.979158625
wind,h0013,highDemLowHydro,avaConv,0.983077611
wind,h0014,highDemLowHydro,avaConv,0.981239469
wind,h0015,highDemLowHydro,avaConv,0.945366856
wind,h0016,highDemLowHydro,avaConv,0.864941921
wind,h0017,highDemLowHydro,avaConv,0.842769538
wind,h0018,highDemLowHydro,avaConv,0.835173296
wind,h0019,highDemLowHydro,avaConv,0.818274116
wind,h0020,highDemLowHydro,avaConv,0.834235249
wind,h0021,highDemLowHydro,avaConv,0.823775592
wind,h0022,highDemLowHydro,avaConv,0.722470254
wind,h0023,highDemLowHydro,avaConv,0.442171862
wind,h0024,highDemLowHydro,avaConv,0.30458486
wind,h0025,highDemLowHydro,avaConv,0.201013639
wind,h0026,highDemLowHydro,avaConv,0.168103804
wind,h0027,highDemLowHydro,avaConv,0.138751058
wind,h0028,highDemLowHydro,avaConv,0.128809316
wind,h0029,highDemLowHydro,avaConv,0.097285848
wind,h0030,highDemLowHydro,avaConv,0.042267681
wind,h0031,highDemLowHydro,avaConv,0.013528716
wind,h0032,highDemLowHydro,avaConv,0.005087153
wind,h0033,highDemLowHydro,avaConv,0.002646154
wind,h0034,highDemLowHydro,avaConv,0.002885875
wind,h0035,highDemLowHydro,avaConv,0.002753855
wind,h0036,highDemLowHydro,avaConv,0.003720458
wind,h0037,highDemLowHydro,avaConv,0.005214827
wind,h0038,highDemLowHydro,avaConv,0.006942848
wind,h0039,highDemLowHydro,avaConv,0.015300749
wind,h0040,highDemLowHydro,avaConv,0.018308764
wind,h0041,highDemLowHydro,avaConv,0.013813137
wind,h0042,highDemLowHydro,avaConv,0.010340376
wind,h0043,highDemLowHydro,avaConv,0.00591526
wind,h0044,highDemLowHydro,avaConv,0.004462979
wind,h0045,highDemLowHydro,avaConv,0.002252377
wind,h0046,highDemLowHydro,avaConv,0.00991375
wind,h0047,highDemLowHydro,avaConv,0.027752801
wind,h0048,highDemLowHydro,avaConv,0.083187136
wind,h0049,highDemLowHydro,avaConv,0.154918915
