technology_1,timestep_2,scenario,parameter,value
hydro,h0001,highDemLowHydro,stInflow,3.431755219
hydro,h0002,highDemLowHydro,stInflow,1.172351412
hydro,h0003,highDemLowHydro,stInflow,2.094850379
hydro,h0004,highDemLowHydro,stInflow,1.312456814
hydro,h0005,highDemLowHydro,stInflow,0.842440111
hydro,h0006,highDemLowHydro,stInflow,0.82589139
hydro,h0007,highDemLowHydro,stInflow,0.879815163
hydro,h0008,highDemLowHydro,stInflow,0.813265737
hydro,h0009,highDemLowHydro,stInflow,0.805246485
hydro,h0010,highDemLowHydro,stInflow,0.810358125
hydro,h0011,highDemLowHydro,stInflow,0.809938595
hydro,h0012,highDemLowHydro,stInflow,0.80157285
hydro,h0013,highDemLowHydro,stInflow,0.8054241
hydro,h0014,highDemLowHydro,stInflow,0.79592711
hydro,h0015,highDemLowHydro,stInflow,2.283240023
hydro,h0016,highDemLowHydro,stInflow,0.927111302
hydro,h0017,highDemLowHydro,stInflow,0.88803933
hydro,h0018,highDemLowHydro,stInflow,0.915411716
hydro,h0019,highDemLowHydro,stInflow,0.87666191
hydro,h0020,highDemLowHydro,stInflow,0.869657567
hydro,h0021,highDemLowHydro,stInflow,0.868441384
hydro,h0022,highDemLowHydro,stInflow,0.862251097
hydro,h0023,highDemLowHydro,stInflow,0.860636278
hydro,h0024,highDemLowHydro,stInflow,0.858591384
hydro,h0025,highDemLowHydro,stInflow,0.861019275
hydro,h0026,highDemLowHydro,stInflow,0.860297531
hydro,h0027,highDemLowHydro,stInflow,0.861740974
hydro,h0028,highDemLowHydro,stInflow,0.857193242
hydro,h0029,highDemLowHydro,stInflow,0.856869896
hydro,h0030,highDemLowHydro,stInflow,0.856676733
hydro,h0031,highDemLowHydro,stInflow,0.859067328
hydro,h0032,highDemLowHydro,stInflow,0.878923826
hydro,h0033,highDemLowHydro,stInflow,0.950265263
hydro,h0034,highDemLowHydro,stInflow,0.883090693
hydro,h0035,highDemLowHydro,stInflow,0.909218039
hydro,h0036,highDemLowHydro,stInflow,0.950099804
hydro,h0037,highDemLowHydro,stInflow,0.910027208
hydro,h0038,highDemLowHydro,stInflow,0.853910756
hydro,h0039,highDemLowHydro,stInflow,0.850186752
hydro,h0040,highDemLowHydro,stInflow,0.850520577
hydro,h0041,highDemLowHydro,stInflow,0.84925975
hydro,h0042,highDemLowHydro,stInflow,0.848953061
hydro,h0043,highDemLowHydro,stInflow,0.847892279
hydro,h0044,highDemLowHydro,stInflow,0.848594222
hydro,h0045,highDemLowHydro,stInflow,0.849274638
hydro,h0046,highDemLowHydro,stInflow,0.858838038
hydro,h0047,highDemLowHydro,stInflow,0.895141163
hydro,h0048,highDemLowHydro,stInflow,0.862930059
hydro,h0049,highDemLowHydro,stInflow,0.875267102
hydro,h0050,highDemLowHydro,stInflow,0.894155087
hydro,h0051,highDemLowHydro,stInflow,0.87498653
hydro,h0052,highDemLowHydro,stInflow,0.847750115
hydro,h0053,highDemLowHydro,stInflow,0.845140765
hydro,h0054,highDemLowHydro,stInflow,0.843405399
hydro,h0055,highDemLowHydro,stInflow,0.842392329
hydro,h0056,highDemLowHydro,stInflow,0.844119063
hydro,h0057,highDemLowHydro,stInflow,0.845805439
hydro,h0058,highDemLowHydro,stInflow,0.843385872
hydro,h0059,highDemLowHydro,stInflow,0.84055804
hydro,h0060,highDemLowHydro,stInflow,0.850372506
hydro,h0061,highDemLowHydro,stInflow,0.837348011
hydro,h0062,highDemLowHydro,stInflow,0.838705612
hydro,h0063,highDemLowHydro,stInflow,0.83633042
hydro,h0064,highDemLowHydro,stInflow,0.83689558
hydro,h0065,highDemLowHydro,stInflow,0.840131856
hydro,h0066,highDemLowHydro,stInflow,0.84813408
hydro,h0067,highDemLowHydro,stInflow,0.85029818
hydro,h0068,highDemLowHydro,stInflow,0.882763488
hydro,h0069,highDemLowHydro,stInflow,0.965764555
hydro,h0070,highDemLowHydro,stInflow,1.100817986
hydro,h0071,highDemLowHydro,stInflow,1.405021513
hydro,h0072,highDemLowHydro,stInflow,1.281985313
hydro,h0073,highDemLowHydro,stInflow,1.015321695
hydro,h0074,highDemLowHydro,stInflow,0.89530007
hydro,h0075,highDemLowHydro,stInflow,0.837882478
hydro,h0076,highDemLowHydro,stInflow,0.835471311
hydro,h0077,highDemLowHydro,stInflow,0.852398993
hydro,h0078,highDemLowHydro,stInflow,0.850359658
hydro,h0079,highDemLowHydro,stInflow,1.16998882
hydro,h0080,highDemLowHydro,stInflow,1.023942974
hydro,h0081,highDemLowHydro,stInflow,0.968345072
hydro,h0082,highDemLowHydro,stInflow,0.855373822
hydro,h0083,highDemLowHydro,stInflow,0.899708786
hydro,h0084,highDemLowHydro,stInflow,0.966718881
hydro,h0085,highDemLowHydro,stInflow,1.12382234
hydro,h0086,highDemLowHydro,stInflow,1.057480845
hydro,h0087,highDemLowHydro,stInflow,8.959951962
hydro,h0088,highDemLowHydro,stInflow,9.281866516
hydro,h0089,highDemLowHydro,stInflow,7.598598743
hydro,h0090,highDemLowHydro,stInflow,3.045337968
hydro,h0091,highDemLowHydro,stInflow,1.744108406
hydro,h0092,highDemLowHydro,stInflow,1.08285457
hydro,h0093,highDemLowHydro,stInflow,0.976745808
hydro,h0094,highDemLowHydro,stInflow,0.828254874
hydro,h0095,highDemLowHydro,stInflow,0.802841772
hydro,h0096,highDemLowHydro,stInflow,0.734637054
hydro,h0097,highDemLowHydro,stInflow,0.73023855
hydro,h0098,highDemLowHydro,stInflow,0.726976138
hydro,h0099,highDemLowHydro,stInflow,0.725374766
hydro,h0100,highDemLowHydro,stInflow,0.728581985
hydro,h0101,highDemLowHydro,stInflow,5.272421371
hydro,h0102,highDemLowHydro,stInflow,5.468717294
hydro,h0103,highDemLowHydro,stInflow,4.518725516
hydro,h0104,highDemLowHydro,stInflow,2.014645616
hydro,h0105,highDemLowHydro,stInflow,1.38023495
hydro,h0106,highDemLowHydro,stInflow,1.184536043
hydro,h0107,highDemLowHydro,stInflow,1.149258677
hydro,h0108,highDemLowHydro,stInflow,0.933024228
hydro,h0109,highDemLowHydro,stInflow,0.80364497
hydro,h0110,highDemLowHydro,stInflow,0.741494467
hydro,h0111,highDemLowHydro,stInflow,0.725756947
hydro,h0112,highDemLowHydro,stInflow,0.692935288
hydro,h0113,highDemLowHydro,stInflow,0.683495267
hydro,h0114,highDemLowHydro,stInflow,0.690289936
hydro,h0115,highDemLowHydro,stInflow,0.710808744
hydro,h0116,highDemLowHydro,stInflow,0.714344877
hydro,h0117,highDemLowHydro,stInflow,0.753085419
hydro,h0118,highDemLowHydro,stInflow,0.798799499
hydro,h0119,highDemLowHydro,stInflow,0.859984554
hydro,h0120,highDemLowHydro,stInflow,0.953431609
hydro,h0121,highDemLowHydro,stInflow,1.01038164
hydro,h0122,highDemLowHydro,stInflow,0.922695778
hydro,h0123,highDemLowHydro,stInflow,0.817373111
hydro,h0124,highDemLowHydro,stInflow,0.729090207
hydro,h0125,highDemLowHydro,stInflow,0.700148998
hydro,h0126,highDemLowHydro,stInflow,0.682969749
hydro,h0127,highDemLowHydro,stInflow,0.678015823
hydro,h0128,highDemLowHydro,stInflow,0.677786653
hydro,h0129,highDemLowHydro,stInflow,0.677947884
hydro,h0130,highDemLowHydro,stInflow,0.690830835
hydro,h0131,highDemLowHydro,stInflow,0.695306411
hydro,h0132,highDemLowHydro,stInflow,0.680039452
hydro,h0133,highDemLowHydro,stInflow,0.666722172
hydro,h0134,highDemLowHydro,stInflow,0.668182384
hydro,h0135,highDemLowHydro,stInflow,0.664377898
hydro,h0136,highDemLowHydro,stInflow,0.663086111
hydro,h0137,highDemLowHydro,stInflow,0.66228957
hydro,h0138,highDemLowHydro,stInflow,0.662064876
hydro,h0139,highDemLowHydro,stInflow,0.660845731
hydro,h0140,highDemLowHydro,stInflow,0.662925285
hydro,h0141,highDemLowHydro,stInflow,0.662439242
hydro,h0142,highDemLowHydro,stInflow,0.661766813
hydro,h0143,highDemLowHydro,stInflow,0.661558825
hydro,h0144,highDemLowHydro,stInflow,0.658557489
hydro,h0145,highDemLowHydro,stInflow,0.658827094
hydro,h0146,highDemLowHydro,stInflow,0.661097258
hydro,h0147,highDemLowHydro,stInflow,0.66001708
hydro,h0148,highDemLowHydro,stInflow,0.659843294
hydro,h0149,highDemLowHydro,stInflow,0.660421634
hydro,h0150,highDemLowHydro,stInflow,0.657787637
hydro,h0151,highDemLowHydro,stInflow,0.65799697
hydro,h0152,highDemLowHydro,stInflow,0.657660883
hydro,h0153,highDemLowHydro,stInflow,0.659606367
hydro,h0154,highDemLowHydro,stInflow,0.667967055
